"Okres";"Petr Pavel";"Andrej Babiš";"Danuše Nerudová";"Pavel Fischer";"Jaroslav Bašta";"Marek Hilšer";"Karel Diviš";"Tomáš Zima"
"Benešov";20247;19704;7645;4221;1965;1645;808;401
"Beroun";21482;15879;7411;3046;1882;1214;670;314
"Blansko";18319;21283;9665;5289;3221;1586;790;302
"Brno-město";83398;51340;31145;14941;8139;4157;2024;741
"Brno-venkov";43877;40076;20587;10023;5578;2835;1580;565
"Bruntál";10333;22996;4903;1881;2766;1025;597;218
"Břeclav";18725;24058;9408;4557;3333;1549;849;297
"Česká Lípa";14942;21439;6389;2246;2618;1150;1242;260
"České Budějovice";38836;33604;16185;8855;4811;3006;1402;617
"Český Krumlov";10126;11473;4530;1981;1561;742;456;162
"Děčín";17055;29642;7002;2483;3069;1374;886;328
"Domažlice";8274;11326;3807;1738;1649;894;488;178
"Frýdek-Místek";33418;45095;14766;8116;6263;2905;1546;645
"Havlíčkův Brod";16896;20461;8237;3832;2158;1726;735;340
"Hodonín";22124;32894;11866;7639;4408;2407;1157;486
"Hradec Králové";35703;29807;12730;5789;3617;2348;1267;471
"Cheb";12759;17302;4454;1833;2382;916;581;221
"Chomutov";15641;27138;6112;2137;2462;1443;723;264
"Chrudim";18565;22857;8758;3755;2494;1664;741;358
"Jablonec nad Nisou";18785;15297;6714;3145;2498;1282;716;271
"Jeseník";4756;8678;2141;944;1378;505;305;140
"Jičín";14266;16600;6997;2724;1864;1379;751;228
"Jihlava";21275;20967;9001;5110;2755;1987;863;352
"Jindřichův Hradec";15430;18920;7264;3686;2330;1299;643;300
"Karlovy Vary";18569;21539;6485;2845;3045;1188;766;306
"Karviná";27137;62341;11765;5075;5758;2242;1568;532
"Kladno";33175;29405;10656;4374;3161;2029;1061;518
"Klatovy";14338;18586;6515;3360;2399;1531;618;282
"Kolín";20217;19209;7723;2783;2160;1437;814;340
"Kroměříž";15643;22881;7608;4231;3702;1517;855;324
"Kutná Hora";13748;15766;5671;2372;1558;1144;613;258
"Liberec";32727;30829;12297;5282;4245;2264;1410;489
"Litoměřice";22017;25829;7398;2757;2605;1502;896;336
"Louny";11443;22508;4654;1636;2068;965;599;232
"Mělník";22890;18942;7131;2872;2093;1351;772;310
"Mladá Boleslav";24678;21832;8918;3829;2966;1959;1071;405
"Most";13117;24932;4820;1639;2226;1095;642;229
"Náchod";22331;19532;8314;3860;2777;1600;793;357
"Nový Jičín";22822;31422;10728;5891;4672;2181;1164;432
"Nymburk";20969;17760;8172;3156;2072;1334;809;302
"Olomouc";41990;44463;18430;8668;6257;3246;1711;616
"Opava";27490;41269;12550;6746;4230;2555;1294;472
"Ostrava-město";46344;67250;17950;8148;7137;3236;1986;785
"Pardubice";34696;30491;14007;5510;3959;2493;1326;483
"Pelhřimov";12965;14697;6326;3616;1636;1333;620;278
"Písek";12974;13573;5809;2687;1405;1105;551;270
"Plzeň-jih";11949;15166;4970;1878;1891;960;552;234
"Plzeň-město";39098;29138;12061;6132;4049;2234;1221;524
"Plzeň-sever";15447;16421;6026;2298;2069;1069;666;266
"Praha";324845;127911;92660;48831;17627;14480;6940;3390
"Praha-východ";48697;22986;14593;6858;2982;2392;1256;563
"Praha-západ";41774;16655;11575;6054;2408;1958;1025;438
"Prachatice";8152;10044;3956;2181;1341;824;360;192
"Prostějov";17141;23568;7882;3782;3275;1478;925;309
"Přerov";17815;29152;8840;4588;4027;1743;1051;393
"Příbram";23904;22023;9186;4429;2299;1882;896;426
"Rakovník";9777;12061;4072;1667;1213;826;482;219
"Rokycany";8728;10837;3439;1298;1249;659;329;143
"Rychnov nad Kněžnou";14913;15067;6764;3220;2247;1376;769;302
"Semily";15572;11664;6574;3530;2121;1492;660;256
"Sokolov";11067;19009;4336;1529;2238;866;557;223
"Strakonice";11325;14413;5736;2826;1639;1191;578;274
"Svitavy";17330;21075;9305;4119;2897;1662;762;331
"Šumperk";17693;26677;8833;4613;3884;1727;926;356
"Tábor";20031;19591;8951;3636;2068;1653;773;387
"Tachov";7054;12265;2678;914;1332;620;343;134
"Teplice";16312;29120;6366;2344;2498;1161;743;288
"Trutnov";23964;21021;9774;4196;3414;1944;921;378
"Třebíč";18218;24203;9351;5353;3147;1747;855;425
"Uherské Hradiště";23490;28072;11175;7808;4190;2410;1193;437
"Ústí nad Labem";18063;24295;6431;2227;2089;1194;718;289
"Ústí nad Orlicí";25642;24708;12327;5921;4146;2438;1166;520
"Vsetín";23913;25376;11275;7302;4617;2501;1124;442
"Vyškov";15626;18490;7565;3611;2745;1486;774;282
"Zlín";34041;35864;15493;10521;5117;2885;1395;591
"Znojmo";15377;28394;7957;3595;3358;1309;742;296
"Žďár nad Sázavou";21702;22409;10762;7020;2664;1988;944;418
"Zahraničí";8884;646;4523;1116;202;412;70;28
